"Name","Ticker","SEC CIK","Exchange","Exchange Country","Business Country","Country of Classification","Company Name","Company Id","SecId","CUSIP","ISIN","Industry","Market Cap (mil) 
(Daily) 
Base 
Currency","Earnings Yield (Daily)","P/E Ratio (TTM) (Long)","Price 52 Wk High 
Base 
Currency","Price 52 Wk Low 
Base 
Currency","Current Return %","Date: Inc Statement TTM","EPS TTM","Revenue (mil) 
TTM 
Inc Statement Currency","Net Income (mil) 
TTM 
Inc Statement Currency","Dividend per Share 
TTM 
Inc Statement Currency","Base 
Currency","Primary Share","Primary Share for Company","Sector","GICS Sub-Industry","GICS Industry","GICS Industry Group","GICS Sector","Russell Sector","Russell Sub-Sector","Russell Industry","ADR","MSCI Country","Equity 
Style Box (Long)","Stock Type","Security Type","Submarket","Sustainalytics ESG Risk Score 
2011-01","Sustainalytics ESG Risk Score 
2011-02","Sustainalytics ESG Risk Score 
2011-03","Sustainalytics ESG Risk Score 
2011-04","Sustainalytics ESG Risk Score 
2011-05","Sustainalytics ESG Risk Score 
2011-06","Sustainalytics ESG Risk Score 
2011-07","Sustainalytics ESG Risk Score 
2011-08","Sustainalytics ESG Risk Score 
2011-09","Sustainalytics ESG Risk Score 
2011-10","Sustainalytics ESG Risk Score 
2011-11","Sustainalytics ESG Risk Score 
2011-12","Sustainalytics ESG Risk Score 
2012-01","Sustainalytics ESG Risk Score 
2012-02","Sustainalytics ESG Risk Score 
2012-03","Sustainalytics ESG Risk Score 
2012-04","Sustainalytics ESG Risk Score 
2012-05","Sustainalytics ESG Risk Score 
2012-06","Sustainalytics ESG Risk Score 
2012-07","Sustainalytics ESG Risk Score 
2012-08","Sustainalytics ESG Risk Score 
2012-09","Sustainalytics ESG Risk Score 
2012-10","Sustainalytics ESG Risk Score 
2012-11","Sustainalytics ESG Risk Score 
2012-12","Sustainalytics ESG Risk Score 
2013-01","Sustainalytics ESG Risk Score 
2013-02","Sustainalytics ESG Risk Score 
2013-03","Sustainalytics ESG Risk Score 
2013-04","Sustainalytics ESG Risk Score 
2013-05","Sustainalytics ESG Risk Score 
2013-06","Sustainalytics ESG Risk Score 
2013-07","Sustainalytics ESG Risk Score 
2013-08","Sustainalytics ESG Risk Score 
2013-09","Sustainalytics ESG Risk Score 
2013-10","Sustainalytics ESG Risk Score 
2013-11","Sustainalytics ESG Risk Score 
2013-12","Sustainalytics ESG Risk Score 
2014-01","Sustainalytics ESG Risk Score 
2014-02","Sustainalytics ESG Risk Score 
2014-03","Sustainalytics ESG Risk Score 
2014-04","Sustainalytics ESG Risk Score 
2014-05","Sustainalytics ESG Risk Score 
2014-06","Sustainalytics ESG Risk Score 
2014-07","Sustainalytics ESG Risk Score 
2014-08","Sustainalytics ESG Risk Score 
2014-09","Sustainalytics ESG Risk Score 
2014-10","Sustainalytics ESG Risk Score 
2014-11","Sustainalytics ESG Risk Score 
2014-12","Sustainalytics ESG Risk Score 
2015-01","Sustainalytics ESG Risk Score 
2015-02","Sustainalytics ESG Risk Score 
2015-03","Sustainalytics ESG Risk Score 
2015-04","Sustainalytics ESG Risk Score 
2015-05","Sustainalytics ESG Risk Score 
2015-06","Sustainalytics ESG Risk Score 
2015-07","Sustainalytics ESG Risk Score 
2015-08","Sustainalytics ESG Risk Score 
2015-09","Sustainalytics ESG Risk Score 
2015-10","Sustainalytics ESG Risk Score 
2015-11","Sustainalytics ESG Risk Score 
2015-12","Sustainalytics ESG Risk Score 
2016-01","Sustainalytics ESG Risk Score 
2016-02","Sustainalytics ESG Risk Score 
2016-03","Sustainalytics ESG Risk Score 
2016-04","Sustainalytics ESG Risk Score 
2016-05","Sustainalytics ESG Risk Score 
2016-06","Sustainalytics ESG Risk Score 
2016-07","Sustainalytics ESG Risk Score 
2016-08","Sustainalytics ESG Risk Score 
2016-09","Sustainalytics ESG Risk Score 
2016-10","Sustainalytics ESG Risk Score 
2016-11","Sustainalytics ESG Risk Score 
2016-12","Sustainalytics ESG Risk Score 
2017-01","Sustainalytics ESG Risk Score 
2017-02","Sustainalytics ESG Risk Score 
2017-03","Sustainalytics ESG Risk Score 
2017-04","Sustainalytics ESG Risk Score 
2017-05","Sustainalytics ESG Risk Score 
2017-06","Sustainalytics ESG Risk Score 
2017-07","Sustainalytics ESG Risk Score 
2017-08","Sustainalytics ESG Risk Score 
2017-09","Sustainalytics ESG Risk Score 
2017-10","Sustainalytics ESG Risk Score 
2017-11","Sustainalytics ESG Risk Score 
2017-12","Sustainalytics ESG Risk Score 
2018-01","Sustainalytics ESG Risk Score 
2018-02","Sustainalytics ESG Risk Score 
2018-03","Sustainalytics ESG Risk Score 
2018-04","Sustainalytics ESG Risk Score 
2018-05","Sustainalytics ESG Risk Score 
2018-06","Sustainalytics ESG Risk Score 
2018-07","Sustainalytics ESG Risk Score 
2018-08","Sustainalytics ESG Risk Score 
2018-09","Sustainalytics ESG Risk Score 
2018-10","Sustainalytics ESG Risk Score 
2018-11","Sustainalytics ESG Risk Score 
2018-12","Sustainalytics ESG Risk Score 
2019-01","Sustainalytics ESG Risk Score 
2019-02","Sustainalytics ESG Risk Score 
2019-03","Sustainalytics ESG Risk Score 
2019-04","Sustainalytics ESG Risk Score 
2019-05","Sustainalytics ESG Risk Score 
2019-06","Sustainalytics ESG Risk Score 
2019-07","Sustainalytics ESG Risk Score 
2019-08","Sustainalytics ESG Risk Score 
2019-09","Sustainalytics ESG Risk Score 
2019-10","Sustainalytics ESG Risk Score 
2019-11","Sustainalytics ESG Risk Score 
2019-12","Sustainalytics ESG Risk Score 
2020-01","Sustainalytics ESG Risk Score 
2020-02","Sustainalytics ESG Risk Score 
2020-03","Sustainalytics ESG Risk Score 
2020-04","Sustainalytics ESG Risk Score 
2020-05","Sustainalytics ESG Risk Score 
2020-06","Sustainalytics ESG Risk Score 
2020-07","Sustainalytics ESG Risk Score 
2020-08","Sustainalytics ESG Risk Score 
2020-09","Sustainalytics ESG Risk Score 
2020-10","Sustainalytics ESG Risk Score 
2020-11","Sustainalytics ESG Risk Score 
2020-12","Sustainalytics ESG Risk Score 
2021-01","Sustainalytics ESG Risk Score 
2021-02","Sustainalytics ESG Risk Score 
2021-03","Sustainalytics ESG Risk Score 
2021-04","Sustainalytics ESG Risk Score 
2021-05","Sustainalytics ESG Risk Score 
2021-06","Sustainalytics ESG Risk Score 
2021-07","Sustainalytics ESG Risk Score 
2021-08","Sustainalytics ESG Risk Score 
2021-09","Sustainalytics ESG Risk Score 
2021-10","Sustainalytics ESG Risk Score 
2021-11","Sustainalytics ESG Risk Score 
2021-12","Sustainalytics ESG Risk Score 
2022-01","Sustainalytics ESG Risk Score 
2022-02","Sustainalytics ESG Risk Score 
2022-03","Sustainalytics ESG Risk Score 
2022-04","Sustainalytics ESG Risk Score 
2022-05","Sustainalytics ESG Risk Score 
2022-06","Sustainalytics ESG Risk Score 
2022-07"
"AgEagle Aerial Systems Inc","UAVS","8504","NYSE Mkt LLC","United States","United States","","AgEagle Aerial Systems Inc","0C00000FXD","0P000009BC","00848K101","US00848K1016","Computer Hardware","58.92","-0.67","","4.40","0.58","7.68","2022-03-31","-0.48","11.90","-34.77","","US Dollar","Yes","Yes","Technology","Agricultural and Farm Machinery","Machinery","Capital Goods","Industrials","Energy","Non-renewable Energy","Oil: Crude producers","No","United States","Small Growth","Distressed","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.62","46.62","46.62","46.62","46.62","46.62","46.62","46.62"
"Ampio Pharmaceuticals Inc","AMPE","1411906","NYSE Mkt LLC","United States","United States","","Ampio Pharmaceuticals Inc","0C000014GF","0P0000IZLE","03209T109","US03209T1097","Biotechnology","24.57","-1.01","","1.83","0.10","-0.55","2022-03-31","-0.11","0.00","-19.04","","US Dollar","Yes","Yes","Healthcare","Pharmaceuticals","Pharmaceuticals","Pharmaceuticals and Biotechnology","Health Care","Healthcare","Pharmaceuticals & Biotech","Biotechnology","No","United States","Small Growth","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","","","","","","","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","42.24","42.24","42.33","42.33","42.33","42.33","","42.33","42.33","42.33","","","","","","","","","","","","","","","","44.17","44.17","44.17","44.17","44.17","44.17","44.17","44.17","44.17","44.17"
"Asensus Surgical Inc Ordinary Shares","ASXC","876378","NYSE Mkt LLC","United States","United States","","Asensus Surgical Inc","0C0000078I","0P00000159","04367G103","US04367G1031","Medical Devices","132.42","-0.50","","2.56","0.35","-0.36","2022-03-31","-0.28","7.22","-64.25","","US Dollar","Yes","Yes","Healthcare","Health Care Equipment","Health Care Equipment and Supplies","Health Care Equipment and Services","Health Care","Healthcare","Medical Equipment And Services","Medical & dental instruments & supplies","No","United States","Small Value","Slow Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00","48.00","","48.00","","","","","","48.00","48.00","48.00","48.00","48.00","48.00","48.00","49.00","49.00","49.00","49.00","","49.00","49.00","49.00","","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","49.00","50.00","50.00","50.00","50.00","50.00","43.35","43.35","42.83","42.22","42.22","42.22","42.22","42.22","41.57","41.57","41.57","41.57","41.57","41.57","41.57","","","","","","","","","","","39.36","39.36","39.36","39.36","39.36","39.36","39.36","39.36","39.36","39.36"
"B2Gold Corp","BTG","1429937","NYSE Mkt LLC","United States","Canada","Canada","B2Gold Corp","0C00000WCJ","0P0000BMCT","11777Q209","CA11777Q2099","Gold","3,694.02","0.10","9.00","5.07","3.10","1.45","2022-06-30","0.36","1,784.54","378.58","0.16","US Dollar","No","No","Basic Materials","Gold","Metals and Mining","Materials","Materials","Materials & Processing","Metals & Minerals","Gold","No","Canada","Mid Value","","Common Stock","","","","","","","","","45.00","45.00","44.00","44.00","44.00","","","","","","38.00","38.00","37.00","37.00","","","","","","","","","","","","","","","","","42.00","","","47.00","","","","","","","","46.00","","","","","","44.00","44.00","44.00","","42.00","","42.00","","42.00","42.00","42.00","42.00","45.00","45.00","45.00","","","","","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","43.00","","43.00","43.00","43.00","43.00","43.00","43.00","52.00","52.00","52.00","52.00","54.00","54.00","54.00","58.00","58.00","58.00","74.00","74.00","74.00","74.00","74.00","33.21","33.23","34.59","34.59","34.59","34.59","34.96","34.96","34.96","34.96","31.96","31.30","31.30","31.30","31.30","31.30","31.30","31.30","31.30","30.89","30.89","30.89","30.89","31.34","31.34","31.34","31.34","29.73","29.73","29.73","29.73","29.68","29.68","29.68","29.68"
"Bar Harbor Bankshares Inc","BHB","743367","NYSE Mkt LLC","United States","United States","","Bar Harbor Bankshares Inc","0C000006UO","0P000000PV","066849100","US0668491006","Banks - Regional","432.06","0.09","10.81","32.94","24.00","2.21","2022-06-30","2.68","140.99","40.41","0.98","US Dollar","Yes","Yes","Financial Services","Regional Banks","Banks","Banks","Financials","Financial Services","Banks","Banks: Diversified","No","United States","Small Value","Cyclical","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00","","","48.00","","","48.00","","","48.00","48.00","46.00","46.00","46.00","46.00","46.00","47.00","47.00","47.00","47.00","47.00","","47.00","47.00","47.00","47.00","47.00","47.00","47.00","47.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","32.75","32.75","32.79","32.57","32.57","32.57","32.57","32.57","32.57","32.57","32.57","32.57","32.57","32.57","32.57","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","30.29","28.15","28.15","28.15","28.15"
"Blue Ridge Bankshares Inc","BRBS","842717","NYSE Mkt LLC","United States","United States","","Blue Ridge Bankshares Inc","0C00000EEP","0P000007Y0","095825105","US0958251052","Banks - Regional","277.84","0.13","7.55","19.22","13.82","-1.00","2022-06-30","2.00","160.25","38.48","0.48","US Dollar","Yes","Yes","Financial Services","Regional Banks","Banks","Banks","Financials","Financial Services","Banks","Banks: Diversified","No","United States","Small Value","Cyclical","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.86","39.86","39.86","39.86","40.75","40.75","40.75","40.75"
"CEL-SCI Corp","CVM","725363","NYSE Mkt LLC","United States","United States","","CEL-SCI Corp","0C0000078J","0P000000Y3","150837607","US1508376076","Biotechnology","178.95","-0.21","","12.90","2.49","-1.90","2022-03-31","-0.87","0.00","-35.75","0.00","US Dollar","Yes","Yes","Healthcare","Biotechnology","Biotechnology","Pharmaceuticals and Biotechnology","Health Care","Healthcare","Pharmaceuticals & Biotech","Biotechnology","No","United States","Small Growth","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.83","33.83","33.83","33.83","33.83","33.83","33.83","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73","36.73"
"Centrus Energy Corp","LEU","1065059","NYSE Mkt LLC","United States","United States","","Centrus Energy Corp","0C000009FX","0P000005LA","15643U104","US15643U1043","Uranium","604.32","0.28","3.35","88.88","17.36","7.50","2022-06-30","11.58","314.70","195.30","0.00","US Dollar","Yes","Yes","Energy","Coal and Consumable Fuels","Oil, Gas and Consumable Fuels","Energy","Energy","Energy","Alternative Energy","Alternative energy","No","United States","Small Value","Aggressive Growth","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.99","41.99","41.99","41.99","41.99","41.99","41.99","41.99","41.99","41.99"
"Chase Corp","CCF","830524","NYSE Mkt LLC","United States","United States","","Chase Corp","0C000007AV","0P0000017F","16150R104","US16150R1041","Specialty Chemicals","872.91","0.05","19.18","119.00","74.36","1.88","2022-05-31","4.74","315.70","45.02","1.00","US Dollar","Yes","Yes","Basic Materials","Specialty Chemicals","Chemicals","Materials","Materials","Materials & Processing","Industrial Materials & Processes","Paints and coatings","No","United States","Small Blend","Cyclical","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.00","","47.00","47.00","","","","47.00","","47.00","47.00","48.00","","48.00","48.00","47.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","39.86","39.86","38.61","38.61","","38.61","38.61","38.61","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","39.62","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","34.78","27.52"
"Cheniere Energy Inc","LNG","3570","NYSE Mkt LLC","United States","United States","United States","Cheniere Energy Inc","0C000007B9","0P0000017T","16411R208","US16411R2085","Oil & Gas Midstream","36,895.41","-0.07","","150.96","82.15","0.87","2022-06-30","-9.99","25,248.00","-2,531.00","0.99","US Dollar","Yes","Yes","Energy","Oil and Gas Storage and Transportation","Oil, Gas and Consumable Fuels","Energy","Energy","Energy","Non-renewable Energy","Gas pipeline","No","United States","Large Growth","Hard Assets","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.00","53.00","","","53.00","","","54.00","","","","53.00","","","","52.00","52.00","52.00","","52.00","53.00","52.00","","52.00","52.00","52.00","52.00","53.00","53.00","53.00","","53.00","53.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","51.00","52.00","52.00","52.00","52.00","52.00","52.00","52.00","52.00","50.00","50.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","33.91","33.68","30.81","27.52","27.52","27.52","27.52","27.52","26.70","26.70","26.70","26.70","26.70","24.14","24.14","24.14","24.14","24.14","24.14","24.77","24.77","25.05","25.05","25.05","25.05","25.05","25.05","21.66","24.62","24.62","24.62","24.62","24.62","24.62","24.21"
"Cheniere Energy Partners LP","CQP","1383650","NYSE Mkt LLC","United States","United States","","Cheniere Energy Partners LP","0C00000PS1","0P000085PY","16411Q101","US16411Q1013","Oil & Gas Midstream","22,371.87","0.04","22.43","61.91","38.00","0.79","2022-06-30","1.75","13,091.00","1,389.00","3.10","US Dollar","Yes","Yes","Energy","Oil and Gas Storage and Transportation","Oil, Gas and Consumable Fuels","Energy","Energy","Energy","Non-renewable Energy","Gas pipeline","No","","Mid Value","Hard Assets","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.00","54.00","54.00","54.00","53.00","53.00","53.00","53.00","54.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","53.00","45.84","45.84","45.81","41.84","41.84","41.84","41.84","41.84","41.84","41.84","","41.93","41.93","41.93","41.93","41.93","41.93","41.93","41.93","35.34","35.34","35.34","35.34","35.34","35.34","35.34","35.75","35.75","35.75","35.75","35.75","35.75","35.75","35.75","35.75"
"Compx International Inc","CIX","1049606","NYSE Mkt LLC","United States","United States","","Compx International Inc","0C00000AOV","0P000001FQ","20563P101","US20563P1012","Security & Protection Services","275.93","0.07","16.73","24.00","19.65","-0.13","2022-06-30","1.49","152.36","18.42","0.90","US Dollar","Yes","Yes","Industrials","Office Services and Supplies","Commercial Services and Supplies","Commercial Services and Supplies","Industrials","Consumer Discretionary","Consumer Products","Household equipment and products","No","United States","Small Blend","High Yield","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.00","44.00","44.00","44.00","44.00","44.00","46.00","46.00","46.00","","46.00","46.00","46.00","46.00","47.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","11.89","11.89","11.91","11.94","","11.94","11.94","11.94","11.94","11.94","10.99","10.99","10.99","","10.99","10.99","10.99","10.97","10.97","10.97","10.97","10.97","10.97","10.97","10.97","10.97","10.97","11.03","11.03","11.03","11.03","11.03","11.03","11.03","11.03"
"Denison Mines Corp","DNN","1063259","NYSE Mkt LLC","United States","Canada","Canada","Denison Mines Corp","0C00000IOE","0P00008DUS","248356107","CA2483561072","Uranium","1,010.72","0.05","19.05","2.14","0.91","6.90","2022-03-31","0.08","21.63","70.48","","US Dollar","No","No","Energy","Coal and Consumable Fuels","Oil, Gas and Consumable Fuels","Energy","Energy","Materials & Processing","Metals & Minerals","Metals and minerals: Diversified","No","Canada","Small Growth","","Common Stock","","","46.00","46.00","46.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","45.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.94","52.94","52.94","52.94","52.94"
"Energy Fuels Inc","UUUU","1385849","NYSE Mkt LLC","United States","United States","Canada","Energy Fuels Inc","0C00000KI7","0P0000BLTJ","292671708","CA2926717083","Uranium","1,121.05","-0.01","","11.39","4.32","2.72","2022-06-30","-0.05","11.78","-9.55","","US Dollar","No","No","Energy","Coal and Consumable Fuels","Oil, Gas and Consumable Fuels","Energy","Energy","Materials & Processing","Metals & Minerals","Metals and minerals: Diversified","No","Canada","Small Growth","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.00","45.00","","45.00","","44.00","44.00","44.00","44.00","44.00","44.00","","","","","","","","","","","","","","","","44.00","44.00","44.00","44.00","44.00","44.00","44.00","44.00","49.00","49.00","49.00","49.00","49.00","63.33","63.60","63.31","63.31","63.31","63.31","63.31","63.31","63.31","63.31","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.94","59.69","59.69","48.12","48.12","48.12","48.12","48.12","48.12","48.12","48.12","48.12","48.12"
"Equinox Gold Corp","EQX","1756607","NYSE Mkt LLC","United States","Canada","Canada","Equinox Gold Corp","0C00000QJT","0P0000Z7GM","29446Y502","CA29446Y5020","Gold","1,265.39","-0.02","3.01","9.07","3.75","3.99","2022-06-30","-0.08","1,074.19","2.39","","US Dollar","No","No","Basic Materials","Gold","Metals and Mining","Materials","Materials","Materials & Processing","Metals & Minerals","Gold","No","Canada","Small Blend","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.75","52.75","52.75","53.44","53.44","48.36","48.36","48.36","48.54","48.54","48.54","48.61","42.98","42.98","42.98","42.98","42.98","42.98","42.98","42.98","42.98","42.98","42.98","42.98"
"EVI Industries Inc","EVI","65312","NYSE Mkt LLC","United States","United States","","EVI Industries Inc","0C00000B0X","0P000001S5","26929N102","US26929N1028","Industrial Distribution","126.54","0.07","12.18","38.42","7.25","5.20","2022-03-31","0.67","249.03","9.37","0.00","US Dollar","Yes","Yes","Industrials","Trading Companies and Distributors","Trading Companies and Distributors","Capital Goods","Industrials","Producer Durables","Machinery","Machinery: Industrial","No","United States","Small Value","Cyclical","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","47.00","47.00","47.00","47.00","47.00","33.77","33.77","33.79","31.83","31.83","31.83","31.83","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","27.89","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14","31.14"
"Franklin Street Properties Corp","FSP","1031316","NYSE Mkt LLC","United States","United States","","Franklin Street Properties Corp","0C000007RD","0P000002AC","35471R106","US35471R1068","REIT - Office","343.78","0.20","4.26","6.58","3.30","-0.60","2022-06-30","0.65","177.74","69.76","0.36","US Dollar","Yes","Yes","Real Estate","Office REITs","Equity Real Estate Investment Trusts (REITs)","Real Estate","Real Estate","Financial Services","Real Estate Investment Trusts (REITs)","Equity REIT: Office","No","United States","Small Blend","Hard Assets","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.00","49.00","","49.00","","","","","","49.00","49.00","49.00","49.00","49.00","49.00","49.00","48.00","","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","48.00","50.00","50.00","50.00","50.00","50.00","50.00","50.00","","50.00","18.00","18.00","18.07","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.10","18.43","18.43","18.43","18.43","18.43","18.43","18.43","18.43","16.79","16.79","16.79","16.79","16.79","16.79","16.79","16.79","16.79","16.79"
"Galiano Gold Inc","GAU","1377757","NYSE Mkt LLC","United States","Canada","","Galiano Gold Inc","0C00000JWL","0P0000AU6P","36352H100","CA36352H1001","Gold","99.04","-0.86","","0.95","0.36","1.87","2022-03-31","-0.38","0.00","-83.45","","US Dollar","No","No","Basic Materials","Gold","Metals and Mining","Materials","Materials","Materials & Processing","Metals & Minerals","Gold","No","Canada","Small Blend","","Common Stock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.00","67.00","67.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","64.00","68.00","68.00","68.00","68.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.71","31.71","31.52","31.52","31.52","31.52","30.31","30.31"
